month,Sentiment_Score,Record Count,engagement,engagement_incmiddle,Record Count
1,,,-0.03931799999999998,0.49189,153
2,,,-4.374529000000001,-4.964980000000001,204
3,522.9922854129989,4128,-49.16499,-50.39198800000005,255
4,1077.954637054003,9091,-59.13191999999997,-58.88472900000002,204
5,2343.8876116509655,18683,-16.31862,-16.579900000000002,51
